case_id,airfoil_id,airfoil_name,split,angle_of_attack_deg,relative_path,num_nodes,num_edges
0,0,NACA0010,validation,1.0,NACA0010/dataset_pyg/NACA0010_aoa_1.0.pt,8094,18431
1,0,NACA0010,validation,10.0,NACA0010/dataset_pyg/NACA0010_aoa_10.0.pt,8094,18431
2,0,NACA0010,validation,11.0,NACA0010/dataset_pyg/NACA0010_aoa_11.0.pt,8094,18431
3,0,NACA0010,validation,12.0,NACA0010/dataset_pyg/NACA0010_aoa_12.0.pt,8094,18431
4,0,NACA0010,validation,13.0,NACA0010/dataset_pyg/NACA0010_aoa_13.0.pt,8094,18431
5,0,NACA0010,validation,2.0,NACA0010/dataset_pyg/NACA0010_aoa_2.0.pt,8094,18431
6,0,NACA0010,validation,3.0,NACA0010/dataset_pyg/NACA0010_aoa_3.0.pt,8094,18431
7,0,NACA0010,validation,4.0,NACA0010/dataset_pyg/NACA0010_aoa_4.0.pt,8094,18431
8,0,NACA0010,validation,5.0,NACA0010/dataset_pyg/NACA0010_aoa_5.0.pt,8094,18431
9,0,NACA0010,validation,6.0,NACA0010/dataset_pyg/NACA0010_aoa_6.0.pt,8094,18431
10,0,NACA0010,validation,7.0,NACA0010/dataset_pyg/NACA0010_aoa_7.0.pt,8094,18431
11,0,NACA0010,validation,8.0,NACA0010/dataset_pyg/NACA0010_aoa_8.0.pt,8094,18431
12,0,NACA0010,validation,9.0,NACA0010/dataset_pyg/NACA0010_aoa_9.0.pt,8094,18431
13,1,NACA0011,train,1.0,NACA0011/dataset_pyg/NACA0011_aoa_1.0.pt,8047,18329
14,1,NACA0011,train,10.0,NACA0011/dataset_pyg/NACA0011_aoa_10.0.pt,8047,18329
15,1,NACA0011,train,11.0,NACA0011/dataset_pyg/NACA0011_aoa_11.0.pt,8047,18329
16,1,NACA0011,train,12.0,NACA0011/dataset_pyg/NACA0011_aoa_12.0.pt,8047,18329
17,1,NACA0011,train,13.0,NACA0011/dataset_pyg/NACA0011_aoa_13.0.pt,8047,18329
18,1,NACA0011,train,2.0,NACA0011/dataset_pyg/NACA0011_aoa_2.0.pt,8047,18329
19,1,NACA0011,train,3.0,NACA0011/dataset_pyg/NACA0011_aoa_3.0.pt,8047,18329
20,1,NACA0011,train,4.0,NACA0011/dataset_pyg/NACA0011_aoa_4.0.pt,8047,18329
21,1,NACA0011,train,5.0,NACA0011/dataset_pyg/NACA0011_aoa_5.0.pt,8047,18329
22,1,NACA0011,train,6.0,NACA0011/dataset_pyg/NACA0011_aoa_6.0.pt,8047,18329
23,1,NACA0011,train,7.0,NACA0011/dataset_pyg/NACA0011_aoa_7.0.pt,8047,18329
24,1,NACA0011,train,8.0,NACA0011/dataset_pyg/NACA0011_aoa_8.0.pt,8047,18329
25,1,NACA0011,train,9.0,NACA0011/dataset_pyg/NACA0011_aoa_9.0.pt,8047,18329
26,2,NACA0012,train,1.0,NACA0012/dataset_pyg/NACA0012_aoa_1.0.pt,8027,18269
27,2,NACA0012,train,10.0,NACA0012/dataset_pyg/NACA0012_aoa_10.0.pt,8027,18269
28,2,NACA0012,train,11.0,NACA0012/dataset_pyg/NACA0012_aoa_11.0.pt,8027,18269
29,2,NACA0012,train,12.0,NACA0012/dataset_pyg/NACA0012_aoa_12.0.pt,8027,18269
30,2,NACA0012,train,13.0,NACA0012/dataset_pyg/NACA0012_aoa_13.0.pt,8027,18269
31,2,NACA0012,train,2.0,NACA0012/dataset_pyg/NACA0012_aoa_2.0.pt,8027,18269
32,2,NACA0012,train,3.0,NACA0012/dataset_pyg/NACA0012_aoa_3.0.pt,8027,18269
33,2,NACA0012,train,4.0,NACA0012/dataset_pyg/NACA0012_aoa_4.0.pt,8027,18269
34,2,NACA0012,train,5.0,NACA0012/dataset_pyg/NACA0012_aoa_5.0.pt,8027,18269
35,2,NACA0012,train,6.0,NACA0012/dataset_pyg/NACA0012_aoa_6.0.pt,8027,18269
36,2,NACA0012,train,7.0,NACA0012/dataset_pyg/NACA0012_aoa_7.0.pt,8027,18269
37,2,NACA0012,train,8.0,NACA0012/dataset_pyg/NACA0012_aoa_8.0.pt,8027,18269
38,2,NACA0012,train,9.0,NACA0012/dataset_pyg/NACA0012_aoa_9.0.pt,8027,18269
39,3,NACA0013,train,1.0,NACA0013/dataset_pyg/NACA0013_aoa_1.0.pt,8050,18338
40,3,NACA0013,train,10.0,NACA0013/dataset_pyg/NACA0013_aoa_10.0.pt,8050,18338
41,3,NACA0013,train,11.0,NACA0013/dataset_pyg/NACA0013_aoa_11.0.pt,8050,18338
42,3,NACA0013,train,12.0,NACA0013/dataset_pyg/NACA0013_aoa_12.0.pt,8050,18338
43,3,NACA0013,train,13.0,NACA0013/dataset_pyg/NACA0013_aoa_13.0.pt,8050,18338
44,3,NACA0013,train,2.0,NACA0013/dataset_pyg/NACA0013_aoa_2.0.pt,8050,18338
45,3,NACA0013,train,3.0,NACA0013/dataset_pyg/NACA0013_aoa_3.0.pt,8050,18338
46,3,NACA0013,train,4.0,NACA0013/dataset_pyg/NACA0013_aoa_4.0.pt,8050,18338
47,3,NACA0013,train,5.0,NACA0013/dataset_pyg/NACA0013_aoa_5.0.pt,8050,18338
48,3,NACA0013,train,6.0,NACA0013/dataset_pyg/NACA0013_aoa_6.0.pt,8050,18338
49,3,NACA0013,train,7.0,NACA0013/dataset_pyg/NACA0013_aoa_7.0.pt,8050,18338
50,3,NACA0013,train,8.0,NACA0013/dataset_pyg/NACA0013_aoa_8.0.pt,8050,18338
51,3,NACA0013,train,9.0,NACA0013/dataset_pyg/NACA0013_aoa_9.0.pt,8050,18338
52,4,NACA0014,train,1.0,NACA0014/dataset_pyg/NACA0014_aoa_1.0.pt,8062,18374
53,4,NACA0014,train,10.0,NACA0014/dataset_pyg/NACA0014_aoa_10.0.pt,8062,18374
54,4,NACA0014,train,11.0,NACA0014/dataset_pyg/NACA0014_aoa_11.0.pt,8062,18374
55,4,NACA0014,train,12.0,NACA0014/dataset_pyg/NACA0014_aoa_12.0.pt,8062,18374
56,4,NACA0014,train,13.0,NACA0014/dataset_pyg/NACA0014_aoa_13.0.pt,8062,18374
57,4,NACA0014,train,2.0,NACA0014/dataset_pyg/NACA0014_aoa_2.0.pt,8062,18374
58,4,NACA0014,train,3.0,NACA0014/dataset_pyg/NACA0014_aoa_3.0.pt,8062,18374
59,4,NACA0014,train,4.0,NACA0014/dataset_pyg/NACA0014_aoa_4.0.pt,8062,18374
60,4,NACA0014,train,5.0,NACA0014/dataset_pyg/NACA0014_aoa_5.0.pt,8062,18374
61,4,NACA0014,train,6.0,NACA0014/dataset_pyg/NACA0014_aoa_6.0.pt,8062,18374
62,4,NACA0014,train,7.0,NACA0014/dataset_pyg/NACA0014_aoa_7.0.pt,8062,18374
63,4,NACA0014,train,8.0,NACA0014/dataset_pyg/NACA0014_aoa_8.0.pt,8062,18374
64,4,NACA0014,train,9.0,NACA0014/dataset_pyg/NACA0014_aoa_9.0.pt,8062,18374
65,5,NACA0015,train,1.0,NACA0015/dataset_pyg/NACA0015_aoa_1.0.pt,8074,18410
66,5,NACA0015,train,10.0,NACA0015/dataset_pyg/NACA0015_aoa_10.0.pt,8074,18410
67,5,NACA0015,train,11.0,NACA0015/dataset_pyg/NACA0015_aoa_11.0.pt,8074,18410
68,5,NACA0015,train,12.0,NACA0015/dataset_pyg/NACA0015_aoa_12.0.pt,8074,18410
69,5,NACA0015,train,13.0,NACA0015/dataset_pyg/NACA0015_aoa_13.0.pt,8074,18410
70,5,NACA0015,train,2.0,NACA0015/dataset_pyg/NACA0015_aoa_2.0.pt,8074,18410
71,5,NACA0015,train,3.0,NACA0015/dataset_pyg/NACA0015_aoa_3.0.pt,8074,18410
72,5,NACA0015,train,4.0,NACA0015/dataset_pyg/NACA0015_aoa_4.0.pt,8074,18410
73,5,NACA0015,train,5.0,NACA0015/dataset_pyg/NACA0015_aoa_5.0.pt,8074,18410
74,5,NACA0015,train,6.0,NACA0015/dataset_pyg/NACA0015_aoa_6.0.pt,8074,18410
75,5,NACA0015,train,7.0,NACA0015/dataset_pyg/NACA0015_aoa_7.0.pt,8074,18410
76,5,NACA0015,train,8.0,NACA0015/dataset_pyg/NACA0015_aoa_8.0.pt,8074,18410
77,5,NACA0015,train,9.0,NACA0015/dataset_pyg/NACA0015_aoa_9.0.pt,8074,18410
78,6,NACA0016,train,1.0,NACA0016/dataset_pyg/NACA0016_aoa_1.0.pt,8071,18401
79,6,NACA0016,train,10.0,NACA0016/dataset_pyg/NACA0016_aoa_10.0.pt,8071,18401
80,6,NACA0016,train,11.0,NACA0016/dataset_pyg/NACA0016_aoa_11.0.pt,8071,18401
81,6,NACA0016,train,12.0,NACA0016/dataset_pyg/NACA0016_aoa_12.0.pt,8071,18401
82,6,NACA0016,train,13.0,NACA0016/dataset_pyg/NACA0016_aoa_13.0.pt,8071,18401
83,6,NACA0016,train,2.0,NACA0016/dataset_pyg/NACA0016_aoa_2.0.pt,8071,18401
84,6,NACA0016,train,3.0,NACA0016/dataset_pyg/NACA0016_aoa_3.0.pt,8071,18401
85,6,NACA0016,train,4.0,NACA0016/dataset_pyg/NACA0016_aoa_4.0.pt,8071,18401
86,6,NACA0016,train,5.0,NACA0016/dataset_pyg/NACA0016_aoa_5.0.pt,8071,18401
87,6,NACA0016,train,6.0,NACA0016/dataset_pyg/NACA0016_aoa_6.0.pt,8071,18401
88,6,NACA0016,train,7.0,NACA0016/dataset_pyg/NACA0016_aoa_7.0.pt,8071,18401
89,6,NACA0016,train,8.0,NACA0016/dataset_pyg/NACA0016_aoa_8.0.pt,8071,18401
90,6,NACA0016,train,9.0,NACA0016/dataset_pyg/NACA0016_aoa_9.0.pt,8071,18401
91,7,NACA0017,train,1.0,NACA0017/dataset_pyg/NACA0017_aoa_1.0.pt,8043,18317
92,7,NACA0017,train,10.0,NACA0017/dataset_pyg/NACA0017_aoa_10.0.pt,8043,18317
93,7,NACA0017,train,11.0,NACA0017/dataset_pyg/NACA0017_aoa_11.0.pt,8043,18317
94,7,NACA0017,train,12.0,NACA0017/dataset_pyg/NACA0017_aoa_12.0.pt,8043,18317
95,7,NACA0017,train,13.0,NACA0017/dataset_pyg/NACA0017_aoa_13.0.pt,8043,18317
96,7,NACA0017,train,2.0,NACA0017/dataset_pyg/NACA0017_aoa_2.0.pt,8043,18317
97,7,NACA0017,train,3.0,NACA0017/dataset_pyg/NACA0017_aoa_3.0.pt,8043,18317
98,7,NACA0017,train,4.0,NACA0017/dataset_pyg/NACA0017_aoa_4.0.pt,8043,18317
99,7,NACA0017,train,5.0,NACA0017/dataset_pyg/NACA0017_aoa_5.0.pt,8043,18317
100,7,NACA0017,train,6.0,NACA0017/dataset_pyg/NACA0017_aoa_6.0.pt,8043,18317
