model,seed,split,region,variable,metric_space,num_cases,MAE_mean,MAE_std,MAE_ci95,MAE_median,RMSE_mean,RMSE_std,RMSE_ci95,RMSE_median,R2_mean,R2_std,R2_ci95,R2_median
full_bagnn,0,test,airfoil,Cp,physical,160,0.13765993425622583,0.0913618923930164,0.014156671893952012,0.10115338861942291,0.2682431517634541,0.1965755164630565,0.03045969184811206,0.21005640178918839,0.8883725387058533,0.18554947853653647,0.02875118957076709,0.9450425512588008
full_bagnn,0,test,airfoil,Cp,zscore,160,0.19272946151904763,0.12791033626637774,0.019819911945109788,0.14161881804466248,0.37555122799240054,0.2752136503998797,0.04264479694321356,0.29408740997314453,0.8883725446571695,0.1855494540075011,0.028751185769953683,0.9450425534377804
full_bagnn,0,test,airfoil,U,physical,160,0.1737914254888892,0.1629009083653358,0.025241757263897043,0.10402702167630196,0.2991122405976057,0.27389240629164285,0.04244006804758535,0.183468759059906,nan,0.0,0.0,nan
full_bagnn,0,test,airfoil,U,zscore,160,0.013862080937542487,0.012993410708113056,0.0020133498481712674,0.008297483436763287,0.023858002389897593,0.021846391792067953,0.003385133479247774,0.01463397266343236,-18357203709.51594,35380326992.28171,5482238465.200092,-3767422322.014493
full_bagnn,0,test,airfoil,V,physical,160,0.09335687572602183,0.11445785813285993,0.01773542886240896,0.03839625604450703,0.13081739153712987,0.13791896569385292,0.02137076514223281,0.06482258066534996,nan,0.0,0.0,nan
full_bagnn,0,test,airfoil,V,zscore,160,0.010956912983965594,0.013433448934446611,0.0020815344777562485,0.004506409168243408,0.015353499545017257,0.016186983089025577,0.002508199015389497,0.0076079589780420065,nan,0.0,0.0,nan
full_bagnn,0,test,farfield,Cp,physical,160,0.01934344876499381,0.01723530855866322,0.002670638729837309,0.010116287041455507,0.030054211121750996,0.028587356055354653,0.004429656713439235,0.014012806583195925,-4.935673659957176,9.902396639846485,1.534392256139335,-0.5520098401902375
full_bagnn,0,test,farfield,Cp,zscore,160,0.02708160863840021,0.02413012763643735,0.0037390020145241544,0.014163210988044739,0.042077107942895965,0.04002345155057927,0.006201698069340187,0.019618495367467403,-4.9356736940085195,9.90239605015139,1.5343921647651335,-0.5520096836825755
full_bagnn,0,test,farfield,U,physical,160,0.34202448865398766,0.24068652089974515,0.037294762799100774,0.21909209340810776,0.4162209745496511,0.26722158692838405,0.0414064138782602,0.28075797855854034,-5.613797439322336,16.456421528281442,2.549948934094721,-1.5647571219874854
full_bagnn,0,test,farfield,U,zscore,160,0.027280810725642368,0.019197817599120353,0.0029747326561665966,0.017475387081503868,0.03319892431609332,0.021314326331251344,0.003302689081943884,0.0223940284922719,-5.613807687280723,16.456449249140068,2.5499532294862663,-1.5647631656075147
full_bagnn,0,test,farfield,V,physical,160,0.4618925993796438,0.4776275726110891,0.07400915913467637,0.1969749927520752,0.544771431479603,0.5272652903848064,0.08170060318953726,0.2522658556699753,-7.659332822528815,17.097477738420615,2.649281622974251,-0.6515456613344673
full_bagnn,0,test,farfield,V,zscore,160,0.05421042829984799,0.05605717727152937,0.008686149609514941,0.02311813924461603,0.06393757642945275,0.06188295247350787,0.009588862829459538,0.029607406817376614,-7.659340342137099,17.097528088335686,2.64928942477442,-0.6515458195129598
full_bagnn,0,test,global,Cp,physical,160,0.09879375718301162,0.06974236524773457,0.010806691455920513,0.07160331308841705,0.1840933189028874,0.1629460328999237,0.02524874938297203,0.11727607250213623,0.9197321262316442,0.11900106178737188,0.01843940556209963,0.9682667383765089
full_bagnn,0,test,global,Cp,zscore,160,0.13831524385605007,0.09764212112300269,0.015129803417617596,0.10024752840399742,0.25773807032965124,0.2281310139499992,0.035349266841276525,0.16419122368097305,0.9197321295475966,0.11900105365260857,0.018439404301604997,0.9682667415709558
full_bagnn,0,test,global,U,physical,160,2.949608641862869,1.6955788008297472,0.26273265718303096,2.118069887161255,4.512624557316303,2.963927183815882,0.4592652752675903,3.150539755821228,0.8800905715679024,0.1439950981909813,0.022312271626971525,0.935518550163773
full_bagnn,0,test,global,U,zscore,160,0.2352687288541347,0.13524393148182615,0.020956264296717767,0.16894294321537018,0.35993908774107697,0.23641082475030384,0.03663223681676351,0.2512955218553543,0.880090569495561,0.14399510948966923,0.022312273377721358,0.935518548287715
full_bagnn,0,test,global,V,physical,160,1.0930172201246022,0.6852834802652178,0.10618577538573168,0.8402605354785919,2.254807775095105,1.9244331711402494,0.2981940092536063,1.3770140409469604,0.925109053140346,0.09785559255824873,0.015162881159204961,0.9669481108582405
full_bagnn,0,test,global,V,zscore,160,0.12828294006176294,0.08042890695175726,0.01246258824857986,0.09861792996525764,0.264637527288869,0.22586281846962247,0.0349978063103485,0.16161448508501053,0.9251090500768935,0.09785559739535854,0.015162881908722895,0.9669481093194577
full_bagnn,0,test,interior,Cp,physical,160,0.0988793091615662,0.06995747182860661,0.01084002256594761,0.07201718911528587,0.18284525107592345,0.16339437778426674,0.025318221142550664,0.11646222695708275,0.920375995802357,0.11830283051676393,0.01833121350581458,0.9687145471330765
