model,split,region,variable,metric_space,num_seeds,MAE_mean_across_seeds,MAE_std_across_seeds,MAE_ci95_across_seeds,MAE_n_seeds,RMSE_mean_across_seeds,RMSE_std_across_seeds,RMSE_ci95_across_seeds,RMSE_n_seeds,R2_mean_across_seeds,R2_std_across_seeds,R2_ci95_across_seeds,R2_n_seeds
basic_gcn,test,airfoil,Cp,physical,3,0.20220960738758245,0.005489530385445536,0.006211988417692756,3,0.373653467418626,0.00620590363063454,0.0070226410581549865,3,0.7459980606917709,0.006083234423437558,0.0068838277825539335,3
basic_gcn,test,airfoil,Cp,zscore,3,0.2831016045529395,0.007685563787414462,0.008697034150214047,3,0.523129924479872,0.00868851675631486,0.00983198227670924,3,0.7459980665431584,0.006083235339933242,0.006883828819666432,3
basic_gcn,test,airfoil,U,physical,3,0.7222513227413098,0.06380329370316147,0.07220022363762187,3,1.0279974007358152,0.10082440714280001,0.11409355726536884,3,nan,nan,nan,0
basic_gcn,test,airfoil,U,zscore,3,0.057608708849875255,0.005089126340803005,0.005758888587093155,3,0.08199583955574781,0.008042029679679758,0.009100413280772374,3,-164956257863.71884,31849405731.59978,36040995426.43074,3
basic_gcn,test,airfoil,V,physical,3,0.2857464558755358,0.03865865022058523,0.04374638093827045,3,0.5790680722954372,0.15207791222495906,0.17209235817931776,3,nan,nan,nan,0
basic_gcn,test,airfoil,V,zscore,3,0.033536887312463175,0.0045372071430281715,0.005134333220176959,3,0.06796283964455749,0.017848759706902344,0.02019777299410279,3,nan,nan,nan,0
basic_gcn,test,farfield,Cp,physical,3,0.024080491657756886,0.006274462817018683,0.007100223080995028,3,0.0305457573190021,0.006631488372670172,0.007504235530294435,3,-8.611750852039846,3.0344461593995757,3.4337990816627113,3
basic_gcn,test,farfield,Cp,zscore,3,0.03371365982069013,0.008784501491301605,0.009940599229371317,3,0.04276529253305247,0.009284351617080877,0.010506232894530653,3,-8.611748850854099,3.0344460321703077,3.4337989376892413,3
basic_gcn,test,farfield,U,physical,3,0.4886018121615052,0.050182600826018886,0.056786958667253584,3,0.6021096914075316,0.06485815846169425,0.07339391548412506,3,-16.14723343133383,1.8935552810997867,2.1427595164860627,3
basic_gcn,test,farfield,U,zscore,3,0.03897220970053846,0.00400270019936704,0.004529481673676261,3,0.048025904320335634,0.005173262529289772,0.005854097647193146,3,-16.147243172273416,1.8935535775993457,2.142757588793844,3
basic_gcn,test,farfield,V,physical,3,0.6427642648263524,0.05516417406819792,0.06242413946587899,3,0.7575501801135639,0.04149394890489061,0.04695482343715918,3,-20.60281954437544,2.7469563430051496,3.1084737288088995,3
basic_gcn,test,farfield,V,zscore,3,0.07543859585615185,0.006474391862877336,0.007326464094347852,3,0.08891054599468286,0.004869974525216852,0.005510894962037916,3,-20.602858236370277,2.746963701167467,3.1084820553534085,3
basic_gcn,test,global,Cp,physical,3,0.12803805815832067,0.007072055024861434,0.008002783629762086,3,0.24034321113334348,0.016673641706628353,0.018868001794278774,3,0.8509991794121552,0.0130536886048848,0.014771639234697669,3
basic_gcn,test,global,Cp,zscore,3,0.1792584463643531,0.00990116222737594,0.011204219807440682,3,0.33649018807336684,0.023343771082070894,0.02641596373554388,3,0.8509991833440039,0.013053688714802426,0.014771639359081172,3
basic_gcn,test,global,U,physical,3,3.8467533657948176,0.11765038831998373,0.13313394739894097,3,5.712539864083131,0.2954679632930835,0.3343534759625776,3,0.8154560861636576,0.024551562601609386,0.02778270850304765,3
basic_gcn,test,global,U,zscore,3,0.3068274074544509,0.009384113541371105,0.010619124139264574,3,0.45564756002277135,0.02356732086925381,0.02666893413396627,3,0.815456085594039,0.024551561441831096,0.027782707190634966,3
basic_gcn,test,global,V,physical,3,1.467731848359108,0.13553775068959587,0.15337540341814934,3,2.772406575456262,0.42694329738988945,0.4831318222464479,3,0.8834286075565408,0.032752746766836476,0.03706322203856407,3
basic_gcn,test,global,V,zscore,3,0.17226165720882514,0.015907510163954693,0.018001042339580064,3,0.3253859744717677,0.0501085842807996,0.05670320106153217,3,0.883428603089144,0.032752749256194445,0.03706322485553779,3
basic_gcn,test,interior,Cp,physical,3,0.12774179387682427,0.007216596780693629,0.008166348024174248,3,0.23796724150888618,0.017057066560625833,0.019301887861910873,3,0.853411224580615,0.013373251013528353,0.015133258142298019,3
basic_gcn,test,interior,Cp,zscore,3,0.17884366330690682,0.010103525781072818,0.011433215725754762,3,0.33316373637256524,0.02388057983196576,0.027023420021003965,3,0.8534112250839895,0.013373249119579425,0.01513325599909305,3
basic_gcn,test,interior,U,physical,3,3.9338838626941044,0.12177564992633616,0.13780212036079517,3,5.787498442331949,0.299751433470698,0.33920067877639604,3,0.8061720692644755,0.02522229410652017,0.028541712652279495,3
basic_gcn,test,interior,U,zscore,3,0.3137771702061097,0.009713155773181773,0.01099147047664144,3,0.4616264622658491,0.02390898180095805,0.027055559874512667,3,0.8061720682577415,0.025222295398972163,0.028541714114826602,3
basic_gcn,test,interior,V,physical,3,1.4964030870546896,0.13970982275738103,0.15809654740372134,3,2.8074099568029247,0.43322816975511147,0.4902438248401393,3,0.8828303329565733,0.032959503355320836,0.03729718914371969,3
basic_gcn,test,interior,V,zscore,3,0.17562668255219857,0.016397168425368255,0.01855514282449463,3,0.3294941751752049,0.0508462122169088,0.05753790564898206,3,0.8828303293238497,0.032959504644212934,0.03729719060223839,3
basic_gcn,train,airfoil,Cp,physical,3,0.12347267872363243,0.004670196199080694,0.005284824504106908,3,0.2320723167606893,0.005921913327043041,0.006701275776832427,3,0.890324251589762,0.0073183949945766725,0.00828154354750351,3
basic_gcn,train,airfoil,Cp,zscore,3,0.17286672958423951,0.0065384629588678906,0.007398967364801997,3,0.3249106015945047,0.008290917479581014,0.009382056339783541,3,0.8903242528104722,0.007318395167239253,0.008281543742889613,3
basic_gcn,train,airfoil,U,physical,3,0.40037817011050797,0.07382038723158574,0.08353563206208334,3,0.6337042436774629,0.10096710100874379,0.11425503057552094,3,nan,nan,nan,0
basic_gcn,train,airfoil,U,zscore,3,0.031935241492754805,0.005888118031390296,0.006663032799669215,3,0.050545956414662606,0.008053409855045893,0.009113291161502057,3,-53084764776.93643,18697394631.633057,21158093814.4873,3
basic_gcn,train,airfoil,V,physical,3,0.19448081782208357,0.0035414200608937145,0.004007494057922233,3,0.35322053213774063,0.03601743304304222,0.0407575623393227,3,nan,nan,nan,0
basic_gcn,train,airfoil,V,zscore,3,0.022825414983366613,0.0004156412748819289,0.0004703423798012258,3,0.04145604238140734,0.00422721785372093,0.004783547316907184,3,nan,nan,nan,0
basic_gcn,train,farfield,Cp,physical,3,0.015145907453283218,0.003531329056311345,0.003996075011266665,3,0.01904622635570544,0.0035912664878760985,0.004063900600073617,3,-4.326846157202351,1.3239788683295193,1.4982231298215911,3
